,individualcount,eventdate_datetime
300,2.0,2021-07-31 00:00:00+00:00
301,25.0,2021-03-14 00:00:00+00:00
302,22.0,2021-04-14 00:00:00+00:00
303,4.0,2021-07-16 00:00:00+00:00
304,2.0,2021-05-15 00:00:00+00:00
305,38.0,2021-09-09 00:00:00+00:00
306,15.0,2021-09-21 00:00:00+00:00
307,1.0,2021-05-04 00:00:00+00:00
308,10.0,2021-10-04 00:00:00+00:00
309,13.0,2021-05-17 00:00:00+00:00
310,0.0,2021-06-20 00:00:00+00:00
311,3.0,2021-10-20 00:00:00+00:00
312,8.0,2021-04-19 00:00:00+00:00
313,7.0,2021-03-27 00:00:00+00:00
314,20.0,2021-11-08 00:00:00+00:00
315,4.0,2021-06-12 00:00:00+00:00
316,4.0,2021-12-27 00:00:00+00:00
317,16.0,2021-04-06 00:00:00+00:00
318,4.0,2022-02-01 00:00:00+00:00
319,1.0,2021-05-29 00:00:00+00:00
320,4.0,2021-09-23 00:00:00+00:00
321,8.0,2021-03-23 00:00:00+00:00
322,50.0,2021-02-02 00:00:00+00:00
323,60.0,2021-04-14 00:00:00+00:00
324,1.0,2021-06-13 00:00:00+00:00
325,3.0,2021-05-02 00:00:00+00:00
326,6.0,2021-04-23 00:00:00+00:00
327,39.0,2021-12-23 00:00:00+00:00
328,3.0,2021-06-09 00:00:00+00:00
329,0.0,2022-05-20 11:16:00+00:00
330,6.0,2021-05-01 00:00:00+00:00
331,2.0,2021-10-29 00:00:00+00:00
332,2.0,2021-05-24 00:00:00+00:00
333,38.0,2021-03-20 00:00:00+00:00
334,0.0,2022-01-19 00:00:00+00:00
335,19.0,2021-11-14 00:00:00+00:00
336,9.0,2021-04-02 00:00:00+00:00
337,1.0,2021-07-21 00:00:00+00:00
338,6.0,2021-08-28 00:00:00+00:00
339,6.0,2021-01-09 00:00:00+00:00
340,50.0,2021-09-22 00:00:00+00:00
341,0.0,2021-10-03 00:00:00+00:00
342,0.0,2021-07-03 00:00:00+00:00
343,4.0,2021-09-05 00:00:00+00:00
344,1.0,2021-10-31 00:00:00+00:00
345,6.0,2021-04-09 00:00:00+00:00
346,2.0,2021-02-14 00:00:00+00:00
347,13.0,2021-03-16 00:00:00+00:00
348,26.0,2021-02-19 00:00:00+00:00
349,60.0,2021-06-27 00:00:00+00:00
350,2.0,2021-01-22 00:00:00+00:00
351,4.0,2021-07-31 00:00:00+00:00
352,0.0,2022-05-09 00:00:00+00:00
353,1.0,2021-03-21 00:00:00+00:00
354,8.0,2021-01-22 00:00:00+00:00
355,0.0,2022-02-12 14:55:00+00:00
356,8.0,2021-08-29 00:00:00+00:00
357,2.0,2021-05-05 00:00:00+00:00
358,75.0,2021-04-20 00:00:00+00:00
359,6.0,2021-08-01 00:00:00+00:00
360,20.0,2021-09-13 00:00:00+00:00
361,40.0,2021-01-19 00:00:00+00:00
362,2.0,2021-04-03 00:00:00+00:00
363,0.0,2022-09-09 07:23:00+00:00
364,6.0,2021-04-09 00:00:00+00:00
365,6.0,2022-04-12 00:00:00+00:00
366,0.0,2021-03-22 00:00:00+00:00
367,5.0,2021-04-09 00:00:00+00:00
368,2.0,2021-05-20 00:00:00+00:00
369,4.0,2021-05-05 00:00:00+00:00
370,3.0,2021-05-12 00:00:00+00:00
371,1.0,2021-07-29 00:00:00+00:00
372,6.0,2023-02-24 00:00:00+00:00
373,2.0,2021-03-26 00:00:00+00:00
374,3.0,2021-03-16 00:00:00+00:00
375,1.0,2021-03-24 00:00:00+00:00
376,53.0,2021-09-01 00:00:00+00:00
377,0.0,2021-10-10 00:00:00+00:00
378,0.0,2021-01-06 00:00:00+00:00
379,1.0,2021-04-28 00:00:00+00:00
380,3.0,2021-07-03 00:00:00+00:00
381,3.0,2021-12-19 00:00:00+00:00
382,0.0,2022-02-27 19:20:00+00:00
383,14.0,2022-12-24 12:32:59+00:00
384,2.0,2021-11-17 00:00:00+00:00
385,62.0,2021-01-25 00:00:00+00:00
386,64.0,2021-01-17 00:00:00+00:00
387,42.0,2021-10-14 00:00:00+00:00
388,1.0,2021-01-14 00:00:00+00:00
389,37.0,2022-03-20 00:00:00+00:00
390,3.0,2021-05-09 00:00:00+00:00
391,6.0,2021-03-21 00:00:00+00:00
392,6.0,2021-02-06 00:00:00+00:00
393,3.0,2021-11-09 00:00:00+00:00
394,13.0,2021-03-15 00:00:00+00:00
395,4.0,2021-04-30 00:00:00+00:00
396,10.0,2021-10-02 00:00:00+00:00
397,1.0,2022-07-26 00:00:00+00:00
398,15.0,2022-11-13 00:00:00+00:00
399,10.0,2021-03-15 00:00:00+00:00
400,0.0,2021-10-26 00:00:00+00:00
401,10.0,2021-08-27 00:00:00+00:00
402,53.0,2021-02-28 00:00:00+00:00
403,48.0,2021-03-29 00:00:00+00:00
404,16.0,2021-01-14 00:00:00+00:00
405,2.0,2021-12-30 00:00:00+00:00
406,3.0,2021-05-14 00:00:00+00:00
407,2.0,2021-04-15 00:00:00+00:00
408,2.0,2022-04-16 00:00:00+00:00
409,2.0,2021-04-03 00:00:00+00:00
410,1.0,2021-05-05 00:00:00+00:00
411,6.0,2021-11-06 00:00:00+00:00
412,11.0,2021-10-05 00:00:00+00:00
413,1177.0,2021-12-04 00:00:00+00:00
414,4.0,2021-05-20 00:00:00+00:00
415,2.0,2021-06-05 00:00:00+00:00
416,8.0,2021-07-24 00:00:00+00:00
417,100.0,2021-02-17 00:00:00+00:00
418,11.0,2021-08-27 00:00:00+00:00
419,2.0,2021-04-02 00:00:00+00:00
420,17.0,2021-03-14 00:00:00+00:00
421,3.0,2021-09-10 00:00:00+00:00
422,10.0,2021-06-24 00:00:00+00:00
423,30.0,2021-10-10 00:00:00+00:00
424,31.0,2021-03-02 00:00:00+00:00
425,3.0,2021-04-17 00:00:00+00:00
426,1.0,2021-03-25 00:00:00+00:00
427,0.0,2021-06-20 00:00:00+00:00
428,4.0,2021-04-17 00:00:00+00:00
429,4.0,2021-07-22 00:00:00+00:00
430,2.0,2021-05-29 00:00:00+00:00
431,0.0,2021-05-04 00:00:00+00:00
432,2.0,2021-03-06 00:00:00+00:00
433,5.0,2021-05-01 00:00:00+00:00
434,23.0,2021-09-21 00:00:00+00:00
435,2.0,2021-05-09 00:00:00+00:00
436,11.0,2021-04-29 00:00:00+00:00
437,60.0,2021-04-21 00:00:00+00:00
438,55.0,2021-03-06 00:00:00+00:00
439,27.0,2021-09-03 00:00:00+00:00
440,13.0,2021-04-02 00:00:00+00:00
441,26.0,2021-05-08 00:00:00+00:00
442,1.0,2022-04-20 05:03:37+00:00
443,30.0,2021-03-03 00:00:00+00:00
444,0.0,2021-09-07 14:35:41+00:00
445,38.0,2021-08-11 00:00:00+00:00
446,26.0,2021-08-20 00:00:00+00:00
447,13.0,2021-09-18 00:00:00+00:00
448,3.0,2021-05-01 00:00:00+00:00
449,4.0,2021-06-25 00:00:00+00:00
450,1.0,2021-05-21 00:00:00+00:00
451,500.0,2021-01-17 00:00:00+00:00
452,1.0,2021-01-09 00:00:00+00:00
453,32.0,2021-03-13 00:00:00+00:00
454,1.0,2021-04-10 00:00:00+00:00
455,3.0,2021-07-17 00:00:00+00:00
456,0.0,2021-03-27 00:00:00+00:00
457,3.0,2021-12-05 00:00:00+00:00
458,2.0,2022-01-24 00:00:00+00:00
459,41.0,2021-11-26 00:00:00+00:00
460,8.0,2021-05-01 00:00:00+00:00
461,38.0,2021-09-22 00:00:00+00:00
462,12.0,2021-01-11 00:00:00+00:00
