,basisofrecord,class,countrycode,day,decimallatitude,decimallongitude,eventdate,family,gbifid,genus,individualcount,issue,kingdom,month,occurrencestatus,order,phylum,species,year
3464061,HUMAN_OBSERVATION,Aves,CA,17.0,43.301422,-79.842316,2021-11-17 10:58:00 UTC,Anatidae,3415513019,Anas,,COORDINATE_ROUNDED,Animalia,11.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2021
6155860,HUMAN_OBSERVATION,Aves,RU,17.0,54.890261,83.042401,2022-09-17 10:18:00 UTC,Anatidae,3912391775,Anas,,COORDINATE_ROUNDED,Animalia,9.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2022
1540684,HUMAN_OBSERVATION,Aves,US,26.0,38.940998,-104.57844,2021-02-26 00:00:00 UTC,Anatidae,3512110572,Anas,2.0,CONTINENT_DERIVED_FROM_COORDINATES,Animalia,2.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2021
6323161,HUMAN_OBSERVATION,Aves,US,3.0,40.660286,-73.968956,2021-04-03 00:00:00 UTC,Anatidae,3512473390,Anas,10.0,CONTINENT_DERIVED_FROM_COORDINATES,Animalia,4.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2021
2875752,HUMAN_OBSERVATION,Aves,US,13.0,33.85413,-112.289856,2021-12-13 00:00:00 UTC,Anatidae,3541192471,Anas,,CONTINENT_DERIVED_FROM_COORDINATES,Animalia,12.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2021
3369312,HUMAN_OBSERVATION,Aves,US,28.0,38.016644,-87.36721,2021-05-28 00:00:00 UTC,Anatidae,3563106469,Anas,1.0,CONTINENT_DERIVED_FROM_COORDINATES,Animalia,5.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2021
3255133,HUMAN_OBSERVATION,Aves,US,20.0,42.153416,-80.111,2021-07-20 00:00:00 UTC,Anatidae,3628719725,Anas,,CONTINENT_DERIVED_FROM_COORDINATES,Animalia,7.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2021
7849704,HUMAN_OBSERVATION,Aves,US,12.0,44.636486,-71.24346,2021-09-12 00:00:00 UTC,Anatidae,3676215824,Anas,1.0,CONTINENT_DERIVED_FROM_COORDINATES,Animalia,9.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2021
5322774,HUMAN_OBSERVATION,Aves,NL,6.0,52.3,5.15,2021-07-06 00:00:00 UTC,Anatidae,3730699045,Anas,1.0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,Animalia,7.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2021
8591133,HUMAN_OBSERVATION,Aves,US,2.0,38.57971,-76.0774,2021-01-02 00:00:00 UTC,Anatidae,3530776569,Anas,12.0,CONTINENT_DERIVED_FROM_COORDINATES,Animalia,1.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2021
3775295,HUMAN_OBSERVATION,Aves,CA,21.0,45.02111,-79.31861,2021-10-21 00:00:00 UTC,Anatidae,3605060353,Anas,25.0,CONTINENT_DERIVED_FROM_COORDINATES,Animalia,10.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2021
7443887,HUMAN_OBSERVATION,Aves,US,27.0,39.925285,-75.13884,2021-02-27 00:00:00 UTC,Anatidae,3510234765,Anas,4.0,CONTINENT_DERIVED_FROM_COORDINATES,Animalia,2.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2021
1869491,HUMAN_OBSERVATION,Aves,US,27.0,34.77946,-82.353546,2021-02-27 00:00:00 UTC,Anatidae,3595155830,Anas,11.0,CONTINENT_DERIVED_FROM_COORDINATES,Animalia,2.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2021
3361946,HUMAN_OBSERVATION,Aves,US,19.0,37.646587,-122.146706,2021-05-19 00:00:00 UTC,Anatidae,3618328261,Anas,2.0,CONTINENT_DERIVED_FROM_COORDINATES,Animalia,5.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2021
7248585,HUMAN_OBSERVATION,Aves,US,15.0,33.242493,-117.33641,2021-11-15 00:00:00 UTC,Anatidae,3660193309,Anas,30.0,CONTINENT_DERIVED_FROM_COORDINATES,Animalia,11.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2021
4297106,HUMAN_OBSERVATION,Aves,US,27.0,37.294487,-85.29912,2021-12-27 00:00:00 UTC,Anatidae,3690302468,Anas,25.0,CONTINENT_DERIVED_FROM_COORDINATES,Animalia,12.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2021
6647697,HUMAN_OBSERVATION,Aves,US,12.0,42.37351,-71.21175,2021-05-12 00:00:00 UTC,Anatidae,3560214064,Anas,2.0,CONTINENT_DERIVED_FROM_COORDINATES,Animalia,5.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2021
